genotype,sample,rep,strand,file
py79,input,rep1,both,/corexfs/schroedj/stranded_hbd_enrichment/py79/input/bootstrap/py79_rep1_input_both_strand_counts_with_strand_col.bedgraph
py79,input,rep2,both,/corexfs/schroedj/stranded_hbd_enrichment/py79/input/bootstrap/py79_rep2_input_both_strand_counts_with_strand_col.bedgraph
py79,hbd,rep1,both,/corexfs/schroedj/stranded_hbd_enrichment/py79/hbd/bootstrap/py79_rep1_hbd_both_strand_counts_with_strand_col.bedgraph
py79,hbd,rep2,both,/corexfs/schroedj/stranded_hbd_enrichment/py79/hbd/bootstrap/py79_rep2_hbd_both_strand_counts_with_strand_col.bedgraph
rnhB,input,rep1,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/input/bootstrap/rnhB_rep1_input_both_strand_counts_with_strand_col.bedgraph
rnhB,input,rep2,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/input/bootstrap/rnhB_rep2_input_both_strand_counts_with_strand_col.bedgraph
rnhB,hbd,rep1,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/hbd/bootstrap/rnhB_rep1_hbd_both_strand_counts_with_strand_col.bedgraph
rnhB,hbd,rep2,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/hbd/bootstrap/rnhB_rep2_hbd_both_strand_counts_with_strand_col.bedgraph
rnhC,input,rep1,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/input/bootstrap/rnhC_rep1_input_both_strand_counts_with_strand_col.bedgraph
rnhC,input,rep2,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/input/bootstrap/rnhC_rep2_input_both_strand_counts_with_strand_col.bedgraph
rnhC,hbd,rep1,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/hbd/bootstrap/rnhC_rep1_hbd_both_strand_counts_with_strand_col.bedgraph
rnhC,hbd,rep2,both,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/hbd/bootstrap/rnhC_rep2_hbd_both_strand_counts_with_strand_col.bedgraph
