genotype,sample,rep,strand,file,norm_factor
py79,input,rep1,plus,/corexfs/schroedj/stranded_hbd_enrichment/py79/input/bootstrap/py79_rep1_input_plus_strand_counts_with_strand_col.bedgraph,1
py79,input,rep1,minus,/corexfs/schroedj/stranded_hbd_enrichment/py79/input/bootstrap/py79_rep1_input_minus_strand_counts_with_strand_col.bedgraph,1
py79,input,rep2,plus,/corexfs/schroedj/stranded_hbd_enrichment/py79/input/bootstrap/py79_rep2_input_plus_strand_counts_with_strand_col.bedgraph,1
py79,input,rep2,minus,/corexfs/schroedj/stranded_hbd_enrichment/py79/input/bootstrap/py79_rep2_input_minus_strand_counts_with_strand_col.bedgraph,1
py79,hbd,rep1,plus,/corexfs/schroedj/stranded_hbd_enrichment/py79/hbd/bootstrap/py79_rep1_hbd_plus_strand_counts_with_strand_col.bedgraph,1
py79,hbd,rep1,minus,/corexfs/schroedj/stranded_hbd_enrichment/py79/hbd/bootstrap/py79_rep1_hbd_minus_strand_counts_with_strand_col.bedgraph,1
py79,hbd,rep2,plus,/corexfs/schroedj/stranded_hbd_enrichment/py79/hbd/bootstrap/py79_rep2_hbd_plus_strand_counts_with_strand_col.bedgraph,1
py79,hbd,rep2,minus,/corexfs/schroedj/stranded_hbd_enrichment/py79/hbd/bootstrap/py79_rep2_hbd_minus_strand_counts_with_strand_col.bedgraph,1
rnhB,input,rep1,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/input/bootstrap/rnhB_rep1_input_plus_strand_counts_with_strand_col.bedgraph,1
rnhB,input,rep1,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/input/bootstrap/rnhB_rep1_input_minus_strand_counts_with_strand_col.bedgraph,1
rnhB,input,rep2,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/input/bootstrap/rnhB_rep2_input_plus_strand_counts_with_strand_col.bedgraph,1
rnhB,input,rep2,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/input/bootstrap/rnhB_rep2_input_minus_strand_counts_with_strand_col.bedgraph,1
rnhB,hbd,rep1,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/hbd/bootstrap/rnhB_rep1_hbd_plus_strand_counts_with_strand_col.bedgraph,1
rnhB,hbd,rep1,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/hbd/bootstrap/rnhB_rep1_hbd_minus_strand_counts_with_strand_col.bedgraph,1
rnhB,hbd,rep2,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/hbd/bootstrap/rnhB_rep2_hbd_plus_strand_counts_with_strand_col.bedgraph,1
rnhB,hbd,rep2,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhB/hbd/bootstrap/rnhB_rep2_hbd_minus_strand_counts_with_strand_col.bedgraph,1
rnhC,input,rep1,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/input/bootstrap/rnhC_rep1_input_plus_strand_counts_with_strand_col.bedgraph,1
rnhC,input,rep1,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/input/bootstrap/rnhC_rep1_input_minus_strand_counts_with_strand_col.bedgraph,1
rnhC,input,rep2,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/input/bootstrap/rnhC_rep2_input_plus_strand_counts_with_strand_col.bedgraph,1
rnhC,input,rep2,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/input/bootstrap/rnhC_rep2_input_minus_strand_counts_with_strand_col.bedgraph,1
rnhC,hbd,rep1,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/hbd/bootstrap/rnhC_rep1_hbd_plus_strand_counts_with_strand_col.bedgraph,1
rnhC,hbd,rep1,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/hbd/bootstrap/rnhC_rep1_hbd_minus_strand_counts_with_strand_col.bedgraph,1
rnhC,hbd,rep2,plus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/hbd/bootstrap/rnhC_rep2_hbd_plus_strand_counts_with_strand_col.bedgraph,1
rnhC,hbd,rep2,minus,/corexfs/schroedj/stranded_hbd_enrichment/rnhC/hbd/bootstrap/rnhC_rep2_hbd_minus_strand_counts_with_strand_col.bedgraph,1
