var_name	genotype	strand	position	lower	median	upper	mean	K_gt	K_lt
Beta	1	1	1	-0.7694066	-0.6081046	-0.43442434	-0.60429674	0	500
Beta	2	1	1	-1.030002	-0.8666651	-0.6899242	-0.86362267	0	500
Beta	3	1	1	-1.0609579	-0.85318387	-0.64625376	-0.85426295	0	500
Beta	1	1	2	-0.7694066	-0.6081046	-0.43442434	-0.60429674	0	500
Beta	2	1	2	-1.030002	-0.8666651	-0.6899242	-0.86362267	0	500
Beta	3	1	2	-1.0609579	-0.85318387	-0.64625376	-0.85426295	0	500
Beta	1	1	3	-0.7694066	-0.6081046	-0.43442434	-0.60429674	0	500
Beta	2	1	3	-1.030002	-0.8666651	-0.6899242	-0.86362267	0	500
Beta	3	1	3	-1.0609579	-0.85318387	-0.64625376	-0.85426295	0	500
Beta	1	1	4	-0.7694066	-0.6081046	-0.43442434	-0.60429674	0	500
Beta	2	1	4	-1.030002	-0.8666651	-0.6899242	-0.86362267	0	500
Beta	3	1	4	-1.0609579	-0.85318387	-0.64625376	-0.85426295	0	500
Beta	1	1	5	-0.77203804	-0.61850786	-0.4538978	-0.61581635	0	500
Beta	2	1	5	-1.0604054	-0.9130478	-0.74804604	-0.9095919	0	500
Beta	3	1	5	-1.1072569	-0.91628015	-0.7171723	-0.914446	0	500
Beta	1	1	6	-0.7745238	-0.62339425	-0.4688961	-0.6234968	0	500
Beta	2	1	6	-1.0966473	-0.9524565	-0.7935876	-0.9514884	0	500
Beta	3	1	6	-1.1591737	-0.97804195	-0.784301	-0.9727883	0	500
Beta	1	1	7	-0.78925806	-0.629792	-0.46947458	-0.6313512	0	500
Beta	2	1	7	-1.1430746	-0.99655247	-0.83288944	-0.99433744	0	500
Beta	3	1	7	-1.2207811	-1.0360858	-0.83261245	-1.0324582	0	500
Beta	1	1	8	-0.8037456	-0.63765246	-0.4686883	-0.6389559	0	500
Beta	2	1	8	-1.1858088	-1.0391285	-0.8777847	-1.035819	0	500
Beta	3	1	8	-1.2850287	-1.0930493	-0.8910922	-1.090223	0	500
Beta	1	1	9	-0.8147808	-0.6457763	-0.46880087	-0.645936	0	500
Beta	2	1	9	-1.2275416	-1.0775201	-0.91702175	-1.0738969	0	500
Beta	3	1	9	-1.3390994	-1.1449668	-0.930912	-1.1432489	0	500
Beta	1	1	10	-0.84006834	-0.65258944	-0.46231452	-0.65203696	0	500
Beta	2	1	10	-1.2672257	-1.109863	-0.9504965	-1.1071796	0	500
Beta	3	1	10	-1.387323	-1.1911294	-0.9727804	-1.1895969	0	500
Beta	1	1	11	-0.85540557	-0.6593643	-0.45469275	-0.6571459	0	500
Beta	2	1	11	-1.2984761	-1.1388693	-0.9744395	-1.1350496	0	500
Beta	3	1	11	-1.4419001	-1.2297099	-1.002047	-1.2284064	0	500
Beta	1	1	12	-0.84994787	-0.66658354	-0.47356322	-0.66416997	0	500
Beta	2	1	12	-1.3063474	-1.1459954	-0.986248	-1.1440482	0	500
Beta	3	1	12	-1.4633545	-1.2671003	-1.0492808	-1.2627802	0	500
Beta	1	1	13	-0.8467509	-0.67609525	-0.49523535	-0.6708686	0	500
Beta	2	1	13	-1.3204079	-1.1516695	-0.9983969	-1.1502918	0	500
Beta	3	1	13	-1.4947908	-1.3072159	-1.0933002	-1.3013386	0	500
Beta	1	1	14	-0.8581323	-0.6844585	-0.5051813	-0.6780272	0	500
Beta	2	1	14	-1.3331397	-1.1585035	-1.0111128	-1.1569643	0	500
